sr,name,docstatus,item_code,item_name,warehouse,creation,modified,_user_tags
126,FZ324060105931,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.548890,2025-06-23 13:33:32.582532,
127,FZ324060105911,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.519969,2025-06-23 13:33:32.564430,
128,FZ324060105907,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.491429,2025-06-23 13:33:32.546440,
129,FZ324060105899,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.463712,2025-06-23 13:33:32.530587,
130,FZ324060105862,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.434586,2025-06-23 13:33:32.512350,
131,FZ324060105825,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.405025,2025-06-23 13:33:32.494563,
132,FZ324060105788,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.377370,2025-06-23 13:33:32.477623,
133,FZ324060105773,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.347505,2025-06-23 13:33:32.458001,
134,FZ324060105687,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.313506,2025-06-23 13:33:32.439398,
135,FZ324060105681,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.283312,2025-06-23 13:33:32.422915,
136,FZ324060105654,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.250948,2025-06-23 13:33:32.405473,
137,FZ324060101925,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.216340,2025-06-23 13:33:32.387511,
138,FZ324060004041,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.187987,2025-06-23 13:33:32.369251,
139,FZ324060004039,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.160476,2025-06-23 13:33:32.351277,
140,FZ324060004037,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.133006,2025-06-23 13:33:32.333459,
141,FZ324060004017,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.102250,2025-06-23 13:33:32.315273,
142,FZ324060004008,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.073409,2025-06-23 13:33:32.298163,
143,FZ324060004002,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.044315,2025-06-23 13:33:32.281490,
144,FZ324060003993,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:22:06.016635,2025-06-23 13:33:32.263463,
145,ALCLB40AF855,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:22:05.252365,2025-06-23 13:33:32.144273,
146,ALCLB4078F5F,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.324539,2025-06-23 13:33:32.128200,
147,ALCLB2B67B1B,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.277892,2025-06-23 13:33:32.109909,
148,ALCLB266CA2F,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.483850,2025-06-23 13:33:32.091287,
149,ALCLB266520F,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.461874,2025-06-23 13:33:32.073826,
150,ALCLB2664542,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.300852,2025-06-23 13:33:32.054863,
151,ALCLB261F778,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.369897,2025-06-23 13:33:32.035008,
152,ALCLB261F428,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.347287,2025-06-23 13:33:32.015935,
153,ALCLB260FA30,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-09 14:28:59.415177,2025-06-23 13:33:31.997299,
154,534D425300350872,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:22:05.657063,2025-06-23 13:33:31.981124,
155,48585443EBA7BFAF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:22:05.736503,2025-06-23 13:33:31.962957,
156,48575443EBA7DFAF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:22:05.946006,2025-06-23 13:33:31.945062,
157,48575443EBA7DCAF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:22:05.788659,2025-06-23 13:33:31.927514,
158,48575443EBA7DAAF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:22:05.919666,2025-06-23 13:33:31.908272,
159,48575443EBA7D9AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:22:05.815519,2025-06-23 13:33:31.889253,
160,48575443EBA7C2AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:22:05.892124,2025-06-23 13:33:31.871148,
